1,"The Shadow of Olympus",0000,"Ethan Hawke",8.5
2,"Whispers in the Wind",1998,"Sofia Coppola",7.2
3,"Crimson Tide",2021,"Spike Lee",9.1
4,"Digital Mirage",2005,"Ava DuVernay",6.8
5,"The Last Sentinel",1976,"Werner Herzog",7.9
6,"Starfall",2015,"Greta Gerwig",8.3
7,"Echoes of Tomorrow",1991,"Denis Villeneuve",6.5
8,"Midnight Express",2003,"Quentin Tarantino",8.8
9,"The Iron Labyrinth",1985,"Jane Campion",7.4
10,"Ephemeral Light",2018,"Bong Joon-ho",9.0
11,"The Quiet Observer",1967,"Alfonso Cuarón",7.1
12,"Beyond the Horizon",2023,"Chloé Zhao",8.6
13,"Neon Dreams",1995,"Christopher Nolan",7.7
14,"The Serpent's Coil",2008,"Patty Jenkins",8.2
15,"Atomic Heart",1980,"Park Chan-wook",6.9
16,"Chronos",2012,"Barry Jenkins",8.9
17,"The Jade Relic",1988,"Céline Sciamma",7.3
18,"Solar Flare",2019,"Guillermo del Toro",9.2
19,"The Third Dimension",1973,"Steven Spielberg",6.4
20,"Galactic Patrol",2006,"Taika Waititi",8.7
21,"The Spectral Key",2014,"Wes Anderson",7.8
22,"Desert Rose",1993,"Jordan Peele",8.4
23,"Cyber Symphony",2017,"Emerald Fennell",7.0
24,"The Great Void",1970,"David Fincher",9.3
25,"Terra Incognita",2020,"Kenneth Branagh",6.6
26,"The Forgotten Code",1999,"Ryan Coogler",8.1
27,"Oasis Moon",2007,"Lynne Ramsay",7.5
28,"Steel Messiah",1982,"Alejandro G. Iñárritu",8.0
29,"Quantum Leap",2016,"Damien Chazelle",9.4
30,"The Golden Ratio",1978,"Clint Eastwood",6.7
31,"Infinite Loop",2022,"Lana Wachowski",8.5
32,"Starlight Serenade",1994,"Paul Thomas Anderson",7.2
33,"The Silent Sea",2009,"Denis Villeneuve",9.1
34,"Aether Bound",2001,"Quentin Tarantino",6.8
35,"The Time Traveler's Wife",1983,"Jane Campion",7.9
36,"Mirrored Souls",2011,"Bong Joon-ho",8.3
37,"The Celestial Map",1969,"Alfonso Cuarón",6.5
38,"Project Chimera",2024,"Chloé Zhao",8.8
39,"Rogue Planet",1996,"Christopher Nolan",7.4
40,"The Vanishing Point",2013,"Patty Jenkins",9.0
41,"Fire & Ice",1977,"Park Chan-wook",7.1
42,"The Unseen City",2017,"Barry Jenkins",8.6
43,"Dragon's Breath",1989,"Céline Sciamma",7.7
44,"Future's Past",2020,"Guillermo del Toro",8.2
45,"The Emerald Tablet",1974,"Steven Spielberg",6.9
46,"Cosmic Drift",2004,"Taika Waititi",8.9
